,A0,D1,D2,D3,B0,E1,E2
Ne,2.1862782391729474,1.1887444935662987,2.779197432104188,9.029915167607127,-0.005990582200095247,-0.0035239746967696307,0.005013864163704602
Ne err,0.004865574242892001,0.027087516809170483,0.789123329143893,3.8236321825188813,0.0001452557045590065,0.0005479019920528759,0.023959380467327315
Ar,2.792274026671566,3.138560772411181,4.3734482645437875,5.479608357791729,-0.006889529885004775,-0.006618283171385478,-0.016616465326865264
Ar err,0.0008668268343495854,0.018104652050403274,0.17961335976071807,2.4972836059170227,3.1482043953458e-05,0.00032307357499530197,0.005939941175732424
