,A0,AR,AL,A1,B0,B1,B2
He,-172.33230971748222,223.23214683805713,145.4132509232501,-23.955768137121563,-0.03790161186322836,0.01962538540118757,-0.002806183992764484
He err,55.8987639421747,76.10008996370577,52.39218475626428,9.01461350688772,0.022579846836400654,0.015643173195486155,0.0027032437223463166
Ne,-55.669398786354854,68.62896281326081,35.02667494583938,-4.779074840061863,-0.113251404330995,0.0705522989726467,-0.01146397837292921
Ne err,83.72869132965755,114.02967447218137,78.03423776122459,13.341236490170585,0.029174279263683944,0.019911258215019503,0.003391994594108498
Ar,-130.84665509606444,187.36433144551935,101.54657674700631,-14.822550434469798,-0.031602528489362465,0.013087795780018039,-0.0014784274281837656
Ar err,94.5364105652856,128.68747279980695,89.06077393479029,15.403771245941384,0.021585072766807694,0.014974333121982044,0.002594985585698655
Kr,-342.0198270836239,465.9695771678354,288.2278295946333,-46.562761233120426,-0.029299350753542036,0.0113273179571581,-0.001175624383150267
Kr err,26.44302297427021,36.00251459870862,24.685487204454425,4.226096531671408,0.007659795746714091,0.005255670920624603,0.0008996238565662858
